air_temp,humidity
23.9,39.7
27.3,46.7
28.3,61.3
25.8,44.9
23.2,76.3
24.3,51.2
28.3,52.3
25.8,56.7
27.9,70.1
23.1,33.3
24.3,77.9
25,75.8
22,55.4
22.2,60.4
14.3,95
24.6,68.7
24.9,35.4
23.7,39.9
25.7,33.1
21.6,71.1
26.8,54.7
26.1,62.2
25.9,60.1
19.6,87.3
28.2,62.3
28.9,56.8
24.4,70.2
27.5,66.9
27.4,64.7
31,50.1
28.7,61.8
31.2,52.4
32.7,48.9
29.7,43.7
27.3,52.9
31.4,36.9
30.6,46.1
29.2,49.8
24.6,54.2
29,52
29.1,51.1
36.1,49.7
34.9,56.7
23.7,78.6
34.9,56.7
36.2,47.9
36.9,41.8
32.1,54.8
36.5,43.1
29.1,53.7
34.1,55.6
36.5,48.5
35.9,45.2
36.3,80.9
36.1,49.9
34.6,53.5
31.4,52.2
34.4,45.7
30.2,66.8
24.3,83.4
34.9,43.2
28,68.7
26.3,79.3
24.9,65.6
26.6,71.6
29.7,65.7
10.2,54.7
30.6,62.3
25.3,71.2
31.7,55.7
25.6,56.9
25.7,75.3
28.1,64
24.6,81.8
24.7,74.2
24.2,55
21.1,87.4
24.2,73.7
30.8,40.3
25.3,64.3
30.3,39.9
24,63.8
31.5,47.5
31.5,21
27.8,60.6
31.7,39.9
27.9,46.6
28.5,38.6
31.5,72.5
31.5,83.2
31.7,51.1
26.9,39.9
29.1,58.7
27.8,62.5
28.3,48.7
28.5,39.9
22.3,36.2
30.1,82.4
27.9,40.3
21.8,40.3
29.7,69.1
29.7,59.2
29.3,38.1
24.8,89.3
23.2,26.4
29.3,57.3
35.3,35.2
34.4,69.8
35.5,49.3
26,61.9
25.9,60.2
31.4,29.9
28.4,54.1
28.8,61.6
32.2,64.2
30.9,26.1
28.8,69.4
30.6,68.5
26.8,47.4
31,55.9
30.2,65.9
29.8,59.4
30.4,69.2
30.3,25.1
28.6,57.4
32.2,52.6
31.7,80.9
32.6,35.4
30.9,61.2
23.9,80.3
32.3,41
32.8,58
25.7,59.9
26.3,70.2
31.6,59.2
29.9,61.8
26.9,40.1
31.4,36.7
30.6,47.6
25.1,55.7
25.3,71.7
28.8,46.9
29.1,62.2
32.3,80.5
32.9,54.9
34.6,72.8
32.6,29.2
29,65.9
29.4,66.3
34.4,25.5
24.8,87.3
35,48.9
23.9,46
32.1,34.4
32.8,56.2
33.4,84.8
33.7,47.8
32.3,29.5
33.1,58.3
31.1,81.9
31.6,70
31.5,58.1
31.9,70.2
32.7,63.8
32.6,55.3
29.4,80.1
27.6,48.9
32.5,65.3
7,99
23.1,86.8
19.9,93.4
20,23.4
32,62.9
23.3,44.5
22.6,48.3
32.6,63.8
19.7,100
21,35.5
32.2,83
24.2,76.4
20.1,35.4
20,50.8
28.5,69.6
25.9,62
22.2,87.3
29.2,89
29.1,57.3
28.4,60.1
29.8,69.8
29.7,60.6
31.8,54.7
29.4,45.4
29.8,58.1
30.3,44.7
31,60.4
34.7,27.9
34.3,53.4
30.4,78.2
39.8,61.4
33.3,80.1
27.9,67.6
33.7,37.8
33.4,57.6
31.5,63.1
32.2,88.6
28,58.5
33.8,73
33.2,55.4
31.2,59.6
34,45.1
28.2,52.1
34.3,89.9
32.1,39
33.6,63.3
33.6,71.8
33.9,53.8
26.9,68.6
33.6,86.1
32.9,85.1
33.2,54.3
32.5,58.7
26.1,66.1
33.5,52.7
25.9,52.9
31.7,58.2
33,68
33.9,79.3
32.8,76.7
35.4,62.7
35.6,46.1
30.5,24.9
30.6,60.5
20.9,87.3
20.1,52.2
32.7,83.4
30.8,68.8
31.3,40.1
23.5,59.6
23.9,87.6
34.1,35.3
32.2,24.8
35.9,53.9
32.9,57.3
27.9,68.7
27.8,70.3
28.1,63
28.2,42.7
28.9,63.3
31.6,27.7
21.1,46
28.8,36.1
28.6,72.4
30.9,54.1
31.3,58.7
28.3,34
28.9,89.9
26.3,73.2
20.6,80.3
28.9,51.4
29.6,56.2
29.4,88.5
27.3,54.4
25.8,41.8
22.3,68.5
19.6,45.8
19.8,90.5
22.4,90.8
24,73.1
10.7,76.8
13.4,33.5
16.7,68.8
25.3,41.1
25.9,37
24.6,48.6
17.3,64.8
2.2,43.7
3.8,38.4
24,24
26.3,47.2
19.6,61.1
22,44.9
17.7,52.8
22.3,50.2
25.6,53.3
23.4,34.1
22,56.5
6.8,80.9
9.4,59.3
16.2,36.8
12.4,32.1
14.9,36
19.2,61.6
19.6,34.5
18.5,48.1
17.5,59.1
19.9,47
13.3,37
12.6,41.7
10.7,39.9
14,40.7
12.9,40.5
13.8,36.5
13.2,36.9
22.8,37.7
13.5,36.7
13.8,37.2
13.3,75.5
3.2,3.2
4,23.3
2.3,47.9
4.1,84.7
39.7,44.9
2.9,76.5
4.8,40.9
5.4,42.3
4.6,42.6
6.6,42.4
4.7,44.7
4.7,44.7
11.9,33.7
19.1,32.4
3.3,45.1
11.2,69.3
4.4,43.9
18.4,33.3
10,37
18.9,74
20.6,32.2
18.7,34.2
17.9,79.6
22.2,34.4
16.6,49.9
18,46
17.4,46.7
18.9,43.8
24,70.9
21.4,41.6
13.1,54.7
11.7,62.6
18.2,46.4
18.2,43.5
19.2,39.7
18.6,28.3
12.9,62.3
16.8,46.8
20.7,45.6
2.3,47.4
20.3,43.9
16.5,27.5
12.1,46.5
14.2,45.3
13.6,46.2
14.2,37.4
14.6,42.4
13,45.6
11.3,79.6
14.8,45.2
15.4,40.6
14.7,38.9
16.4,74.4
14.9,39.6
16.7,41.2
16.9,40.4
9.9,85.9
13.4,64.3
10.8,85.8
9.8,95.7
3.5,50.7
4.2,66.9
25.2,38.9
26.1,38.9
26.1,38.9
24.7,40.5
23.9,56.8
16.9,52.9
23.5,39.3
19.3,49.2
25.5,36.9
24.3,56.1
25.8,51.3
23.8,56.6
25.1,53
23.9,86.4
25.3,52.6
23.2,56.2
21.8,67
26.5,88
22.2,66.8
23.1,66.1
20.8,68.8
25.9,46.4
25,70.9
23.8,65.1
25.6,58.2
22.9,70.4
14.5,58.9
13.6,47.2
13.7,36.1
14.7,36.8
20.9,38.9
19,65.4
18.1,50.9
20.7,41
22.8,37.7
22.5,35.9
22.6,51.5
19.7,40.3
22.2,46.1
21,25.1
23.5,58.5
23.3,19.6
23.4,20.5
18.4,65.8
23.8,19.9
23.6,76.3
16.8,68.2
23.6,34.3
23.8,19.9
19.9,68.7
23.3,23.1
21.2,36.6
15.8,38.4
26.2,30.9
9.9,41.5
20.3,60.9
20.6,35
21.9,30.9
21.4,58.8
20.4,33.4
28.5,29.4
26.9,31.8
28.1,27.9
27.5,27
30.7,33.3
29.3,72.9
29.1,46.7
30.9,42.7
26.4,51.2
32.2,48.3
31,45.8
22.4,64.9
27.8,48.7
23.9,58.7
27.4,58.9
27.8,73.2
21,52.6
17,49.7
15.8,23.9
19.6,33.6
21.4,33.4
19.4,75.2
19.3,87.6
17.3,79.8
18.9,79.9
24.8,62
21.6,88.8
22.9,71.4
24.7,25.9
23.6,66.4
26.9,35.3
27.1,55.3
19.7,22
20.7,83.1
21.5,20
24.4,72.5
20.2,29.2
19,87.1
18.8,83.7
18.1,33.4
26.3,79
25.3,77.9
27.6,54.7
26.4,20.6
22.3,50.6
21.5,21.4
21.9,82.3
25.1,58
23.1,73
21,36.3
22.7,74.8
19.6,72.1
30.7,60.6
31,82
31.2,54.7
17.7,71.3
18.9,85.8
18.2,35
26.4,54.4
26.4,71
29.7,70.3
23.8,62.3
23.9,62.8
