air_temp,humidity,Land_Type
23.9,39.7,Mediterranean Drought Management
27.3,46.7,Urban Cool Roofs
28.3,61.3,Tropical Urban Green Spaces
25.8,44.9,Urban Cool Roofs
23.2,76.3,Tropical Urban Green Spaces
24.3,51.2,unknown
28.3,52.3,unknown
25.8,56.7,unknown
27.9,70.1,Tropical Urban Green Spaces
23.1,33.3,Mediterranean Drought Management
24.3,77.9,Tropical Urban Green Spaces
25.0,75.8,Tropical Urban Green Spaces
22.0,55.4,unknown
22.2,60.4,Tropical Urban Green Spaces
14.3,95.0,unknown
24.6,68.7,Tropical Urban Green Spaces
24.9,35.4,Mediterranean Drought Management
23.7,39.9,Mediterranean Drought Management
25.7,33.1,Urban Cool Roofs
21.6,71.1,Tropical Urban Green Spaces
26.8,54.7,unknown
26.1,62.2,Tropical Urban Green Spaces
25.9,60.1,Tropical Urban Green Spaces
19.6,87.3,unknown
28.2,62.3,Tropical Urban Green Spaces
28.9,56.8,unknown
24.4,70.2,Tropical Urban Green Spaces
27.5,66.9,Tropical Urban Green Spaces
27.4,64.7,Tropical Urban Green Spaces
31.0,50.1,unknown
28.7,61.8,Tropical Urban Green Spaces
31.2,52.4,unknown
32.7,48.9,Urban Cool Roofs
29.7,43.7,Urban Cool Roofs
27.3,52.9,unknown
31.4,36.9,Urban Cool Roofs
30.6,46.1,Urban Cool Roofs
29.2,49.8,Urban Cool Roofs
24.6,54.2,unknown
29.0,52.0,unknown
29.1,51.1,unknown
36.1,49.7,unknown
34.9,56.7,unknown
23.7,78.6,Tropical Urban Green Spaces
34.9,56.7,unknown
36.2,47.9,unknown
36.9,41.8,unknown
32.1,54.8,unknown
36.5,43.1,unknown
29.1,53.7,unknown
34.1,55.6,unknown
36.5,48.5,unknown
35.9,45.2,unknown
36.3,80.9,unknown
36.1,49.9,unknown
34.6,53.5,unknown
31.4,52.2,unknown
34.4,45.7,Urban Cool Roofs
30.2,66.8,unknown
24.3,83.4,unknown
34.9,43.2,Urban Cool Roofs
28.0,68.7,Tropical Urban Green Spaces
26.3,79.3,Tropical Urban Green Spaces
24.9,65.6,Tropical Urban Green Spaces
26.6,71.6,Tropical Urban Green Spaces
29.7,65.7,Tropical Urban Green Spaces
10.2,54.7,Sub-Arctic Summer Heat Management
30.6,62.3,unknown
25.3,71.2,Tropical Urban Green Spaces
31.7,55.7,unknown
25.6,56.9,unknown
25.7,75.3,Tropical Urban Green Spaces
28.1,64.0,Tropical Urban Green Spaces
24.6,81.8,unknown
24.7,74.2,Tropical Urban Green Spaces
24.2,55.0,unknown
21.1,87.4,unknown
24.2,73.7,Tropical Urban Green Spaces
30.8,40.3,Urban Cool Roofs
25.3,64.3,Tropical Urban Green Spaces
30.3,39.9,Urban Cool Roofs
24.0,63.8,Tropical Urban Green Spaces
31.5,47.5,Urban Cool Roofs
31.5,21.0,unknown
27.8,60.6,Tropical Urban Green Spaces
31.7,39.9,Urban Cool Roofs
27.9,46.6,Urban Cool Roofs
28.5,38.6,Urban Cool Roofs
31.5,72.5,unknown
31.5,83.2,Tropical Storm Surge Defense
31.7,51.1,unknown
26.9,39.9,Urban Cool Roofs
29.1,58.7,unknown
27.8,62.5,Tropical Urban Green Spaces
28.3,48.7,Urban Cool Roofs
28.5,39.9,Urban Cool Roofs
22.3,36.2,Mediterranean Drought Management
30.1,82.4,Tropical Storm Surge Defense
27.9,40.3,Urban Cool Roofs
21.8,40.3,Mediterranean Drought Management
29.7,69.1,Tropical Urban Green Spaces
29.7,59.2,unknown
29.3,38.1,Urban Cool Roofs
24.8,89.3,unknown
23.2,26.4,unknown
29.3,57.3,unknown
35.3,35.2,unknown
34.4,69.8,unknown
35.5,49.3,unknown
26.0,61.9,Tropical Urban Green Spaces
25.9,60.2,Tropical Urban Green Spaces
31.4,29.9,unknown
28.4,54.1,unknown
28.8,61.6,Tropical Urban Green Spaces
32.2,64.2,unknown
30.9,26.1,unknown
28.8,69.4,Tropical Urban Green Spaces
30.6,68.5,unknown
26.8,47.4,Urban Cool Roofs
31.0,55.9,unknown
30.2,65.9,unknown
29.8,59.4,unknown
30.4,69.2,unknown
30.3,25.1,unknown
28.6,57.4,unknown
32.2,52.6,unknown
31.7,80.9,Tropical Storm Surge Defense
32.6,35.4,Urban Cool Roofs
30.9,61.2,unknown
23.9,80.3,unknown
32.3,41.0,Urban Cool Roofs
32.8,58.0,unknown
25.7,59.9,unknown
26.3,70.2,Tropical Urban Green Spaces
31.6,59.2,unknown
29.9,61.8,Tropical Urban Green Spaces
26.9,40.1,Urban Cool Roofs
31.4,36.7,Urban Cool Roofs
30.6,47.6,Urban Cool Roofs
25.1,55.7,unknown
25.3,71.7,Tropical Urban Green Spaces
28.8,46.9,Urban Cool Roofs
29.1,62.2,Tropical Urban Green Spaces
32.3,80.5,Tropical Storm Surge Defense
32.9,54.9,unknown
34.6,72.8,unknown
32.6,29.2,unknown
29.0,65.9,Tropical Urban Green Spaces
29.4,66.3,Tropical Urban Green Spaces
34.4,25.5,unknown
24.8,87.3,unknown
35.0,48.9,Urban Cool Roofs
23.9,46.0,Mediterranean Drought Management
32.1,34.4,Urban Cool Roofs
32.8,56.2,unknown
33.4,84.8,Tropical Storm Surge Defense
33.7,47.8,Urban Cool Roofs
32.3,29.5,unknown
33.1,58.3,unknown
31.1,81.9,Tropical Storm Surge Defense
31.6,70.0,unknown
31.5,58.1,unknown
31.9,70.2,unknown
32.7,63.8,unknown
32.6,55.3,unknown
29.4,80.1,Tropical Storm Surge Defense
27.6,48.9,Urban Cool Roofs
32.5,65.3,unknown
7.0,99.0,unknown
23.1,86.8,unknown
19.9,93.4,unknown
20.0,23.4,unknown
32.0,62.9,unknown
23.3,44.5,Mediterranean Drought Management
22.6,48.3,Mediterranean Drought Management
32.6,63.8,unknown
19.7,100.0,unknown
21.0,35.5,Mediterranean Drought Management
32.2,83.0,Tropical Storm Surge Defense
24.2,76.4,Tropical Urban Green Spaces
20.1,35.4,Mediterranean Drought Management
20.0,50.8,Sub-Arctic Summer Heat Management
28.5,69.6,Tropical Urban Green Spaces
25.9,62.0,Tropical Urban Green Spaces
22.2,87.3,unknown
29.2,89.0,Tropical Storm Surge Defense
29.1,57.3,unknown
28.4,60.1,Tropical Urban Green Spaces
29.8,69.8,Tropical Urban Green Spaces
29.7,60.6,Tropical Urban Green Spaces
31.8,54.7,unknown
29.4,45.4,Urban Cool Roofs
29.8,58.1,unknown
30.3,44.7,Urban Cool Roofs
31.0,60.4,unknown
34.7,27.9,unknown
34.3,53.4,unknown
30.4,78.2,unknown
39.8,61.4,unknown
33.3,80.1,Tropical Storm Surge Defense
27.9,67.6,Tropical Urban Green Spaces
33.7,37.8,Urban Cool Roofs
