air_temp,aerosols
23.9,0.0875
27.3,1.2855
28.3,0.6677
25.8,0.7394
23.2,0.6923
24.3,0.5685
28.3,0.5672
25.8,0.5149
27.9,1.545
23.1,0.3817
24.3,0.1666
25,0.3852
22,0.2121
22.2,0.3911
14.3,0.3798
24.6,0.2464
24.9,0.3782
23.7,0.3749
25.7,1.3105
21.6,0.6741
26.8,0.6829
26.1,1.2265
25.9,0.3914
19.6,0.2262
28.2,0.1871
28.9,0.2368
24.4,0.2187
27.5,0.3095
27.4,0.8312
31,1.0715
28.7,1.4455
31.2,0.1062
32.7,0.307
29.7,0.3169
27.3,0.4779
31.4,0.1327
30.6,0.9121
29.2,0.9711
24.6,0.8117
29,1.0443
29.1,0.8267
36.1,1.1182
34.9,0.7904
23.7,0.7996
34.9,1.6451
36.2,0.5802
36.9,1.2962
32.1,0.9942
36.5,0.3415
29.1,0.4202
34.1,1.1948
36.5,0.4041
35.9,1.1092
36.3,0.0614
36.1,0.1416
34.6,-0.0204
31.4,1.1758
34.4,0.1988
30.2,0.121
24.3,0.1501
34.9,0.6336
28,0.7618
26.3,0.9021
24.9,0.3942
26.6,0.4873
29.7,1.0395
10.2,1.0851
30.6,0.7994
25.3,0.3007
31.7,1.5756
25.6,0.0898
25.7,0.4979
28.1,0.1627
24.6,0.2471
24.7,0.1428
24.2,-0.398
21.1,-0.4733
24.2,0.6708
30.8,0.6613
25.3,0.9964
30.3,0.6497
24,0.5308
31.5,1.2374
31.5,0.2099
27.8,0.1876
31.7,0.2539
27.9,0.022
28.5,0.3761
31.5,0.4557
31.5,0.5803
31.7,0.1726
26.9,1.4719
29.1,0.3781
27.8,0.2662
28.3,0.6756
28.5,0.2718
22.3,0.023
30.1,0.0957
27.9,1.9776
21.8,0.2231
29.7,0.4128
29.7,0.4628
29.3,0.4288
24.8,0.3615
23.2,0.3998
29.3,0.3399
35.3,0.1938
34.4,0.343
35.5,-0.0977
26,0.1287
25.9,0.1929
31.4,0.2206
