air_temp,humidity,Land_Type
23.9,39.7,Mediterranean Drought Management
27.3,46.7,Urban Cool Roofs
28.3,61.3,Tropical Urban Green Spaces
25.8,44.9,Urban Cool Roofs
23.2,76.3,Tropical Urban Green Spaces
27.9,70.1,Tropical Urban Green Spaces
23.1,33.3,Mediterranean Drought Management
24.3,77.9,Tropical Urban Green Spaces
25.0,75.8,Tropical Urban Green Spaces
22.2,60.4,Tropical Urban Green Spaces
24.6,68.7,Tropical Urban Green Spaces
24.9,35.4,Mediterranean Drought Management
23.7,39.9,Mediterranean Drought Management
25.7,33.1,Urban Cool Roofs
21.6,71.1,Tropical Urban Green Spaces
26.1,62.2,Tropical Urban Green Spaces
25.9,60.1,Tropical Urban Green Spaces
28.2,62.3,Tropical Urban Green Spaces
24.4,70.2,Tropical Urban Green Spaces
27.5,66.9,Tropical Urban Green Spaces
27.4,64.7,Tropical Urban Green Spaces
28.7,61.8,Tropical Urban Green Spaces
32.7,48.9,Urban Cool Roofs
29.7,43.7,Urban Cool Roofs
31.4,36.9,Urban Cool Roofs
30.6,46.1,Urban Cool Roofs
29.2,49.8,Urban Cool Roofs
23.7,78.6,Tropical Urban Green Spaces
34.4,45.7,Urban Cool Roofs
34.9,43.2,Urban Cool Roofs
28.0,68.7,Tropical Urban Green Spaces
26.3,79.3,Tropical Urban Green Spaces
24.9,65.6,Tropical Urban Green Spaces
26.6,71.6,Tropical Urban Green Spaces
29.7,65.7,Tropical Urban Green Spaces
10.2,54.7,Sub-Arctic Summer Heat Management
25.3,71.2,Tropical Urban Green Spaces
25.7,75.3,Tropical Urban Green Spaces
28.1,64.0,Tropical Urban Green Spaces
24.7,74.2,Tropical Urban Green Spaces
24.2,73.7,Tropical Urban Green Spaces
30.8,40.3,Urban Cool Roofs
25.3,64.3,Tropical Urban Green Spaces
30.3,39.9,Urban Cool Roofs
24.0,63.8,Tropical Urban Green Spaces
31.5,47.5,Urban Cool Roofs
27.8,60.6,Tropical Urban Green Spaces
31.7,39.9,Urban Cool Roofs
27.9,46.6,Urban Cool Roofs
28.5,38.6,Urban Cool Roofs
31.5,83.2,Tropical Storm Surge Defense
26.9,39.9,Urban Cool Roofs
27.8,62.5,Tropical Urban Green Spaces
28.3,48.7,Urban Cool Roofs
28.5,39.9,Urban Cool Roofs
22.3,36.2,Mediterranean Drought Management
30.1,82.4,Tropical Storm Surge Defense
27.9,40.3,Urban Cool Roofs
21.8,40.3,Mediterranean Drought Management
29.7,69.1,Tropical Urban Green Spaces
29.3,38.1,Urban Cool Roofs
26.0,61.9,Tropical Urban Green Spaces
25.9,60.2,Tropical Urban Green Spaces
28.8,61.6,Tropical Urban Green Spaces
28.8,69.4,Tropical Urban Green Spaces
26.8,47.4,Urban Cool Roofs
31.7,80.9,Tropical Storm Surge Defense
32.6,35.4,Urban Cool Roofs
32.3,41.0,Urban Cool Roofs
26.3,70.2,Tropical Urban Green Spaces
29.9,61.8,Tropical Urban Green Spaces
26.9,40.1,Urban Cool Roofs
31.4,36.7,Urban Cool Roofs
30.6,47.6,Urban Cool Roofs
25.3,71.7,Tropical Urban Green Spaces
28.8,46.9,Urban Cool Roofs
29.1,62.2,Tropical Urban Green Spaces
32.3,80.5,Tropical Storm Surge Defense
29.0,65.9,Tropical Urban Green Spaces
29.4,66.3,Tropical Urban Green Spaces
35.0,48.9,Urban Cool Roofs
23.9,46.0,Mediterranean Drought Management
32.1,34.4,Urban Cool Roofs
33.4,84.8,Tropical Storm Surge Defense
33.7,47.8,Urban Cool Roofs
31.1,81.9,Tropical Storm Surge Defense
29.4,80.1,Tropical Storm Surge Defense
27.6,48.9,Urban Cool Roofs
23.3,44.5,Mediterranean Drought Management
22.6,48.3,Mediterranean Drought Management
21.0,35.5,Mediterranean Drought Management
32.2,83.0,Tropical Storm Surge Defense
24.2,76.4,Tropical Urban Green Spaces
20.1,35.4,Mediterranean Drought Management
20.0,50.8,Sub-Arctic Summer Heat Management
28.5,69.6,Tropical Urban Green Spaces
25.9,62.0,Tropical Urban Green Spaces
29.2,89.0,Tropical Storm Surge Defense
28.4,60.1,Tropical Urban Green Spaces
29.8,69.8,Tropical Urban Green Spaces
29.7,60.6,Tropical Urban Green Spaces
29.4,45.4,Urban Cool Roofs
30.3,44.7,Urban Cool Roofs
33.3,80.1,Tropical Storm Surge Defense
27.9,67.6,Tropical Urban Green Spaces
33.7,37.8,Urban Cool Roofs
32.2,88.6,Tropical Storm Surge Defense
34.0,45.1,Urban Cool Roofs
34.3,89.9,Tropical Storm Surge Defense
32.1,39.0,Urban Cool Roofs
26.9,68.6,Tropical Urban Green Spaces
33.6,86.1,Tropical Storm Surge Defense
32.9,85.1,Tropical Storm Surge Defense
26.1,66.1,Tropical Urban Green Spaces
32.7,83.4,Tropical Storm Surge Defense
31.3,40.1,Urban Cool Roofs
34.1,35.3,Urban Cool Roofs
27.9,68.7,Tropical Urban Green Spaces
27.8,70.3,Tropical Urban Green Spaces
28.1,63.0,Tropical Urban Green Spaces
28.2,42.7,Urban Cool Roofs
28.9,63.3,Tropical Urban Green Spaces
21.1,46.0,Mediterranean Drought Management
28.8,36.1,Urban Cool Roofs
28.6,72.4,Tropical Urban Green Spaces
28.3,34.0,Urban Cool Roofs
28.9,89.9,Tropical Storm Surge Defense
26.3,73.2,Tropical Urban Green Spaces
29.4,88.5,Tropical Storm Surge Defense
25.8,41.8,Urban Cool Roofs
22.3,68.5,Tropical Urban Green Spaces
24.0,73.1,Tropical Urban Green Spaces
10.7,76.8,Temperate Wetland Restoration
16.7,68.8,Sub-Arctic Summer Heat Management
25.3,41.1,Urban Cool Roofs
25.9,37.0,Urban Cool Roofs
24.6,48.6,Mediterranean Drought Management
17.3,64.8,Sub-Arctic Summer Heat Management
26.3,47.2,Urban Cool Roofs
19.6,61.1,Sub-Arctic Summer Heat Management
22.0,44.9,Mediterranean Drought Management
17.7,52.8,Sub-Arctic Summer Heat Management
23.4,34.1,Mediterranean Drought Management
19.2,61.6,Sub-Arctic Summer Heat Management
17.5,59.1,Sub-Arctic Summer Heat Management
22.8,37.7,Mediterranean Drought Management
13.3,75.5,Temperate Wetland Restoration
11.2,69.3,Sub-Arctic Summer Heat Management
18.9,74.0,Temperate Wetland Restoration
20.6,32.2,Mediterranean Drought Management
17.9,79.6,Temperate Wetland Restoration
22.2,34.4,Mediterranean Drought Management
24.0,70.9,Tropical Urban Green Spaces
21.4,41.6,Mediterranean Drought Management
13.1,54.7,Sub-Arctic Summer Heat Management
11.7,62.6,Sub-Arctic Summer Heat Management
12.9,62.3,Sub-Arctic Summer Heat Management
20.7,45.6,Mediterranean Drought Management
20.3,43.9,Mediterranean Drought Management
