air_temp,aerosols,Land_Type
27.3,1.2855,Heat-Adapted Coastal Ecosystems
28.3,0.6677,Heat-Adapted Coastal Ecosystems
25.8,0.7394,Heat-Adapted Coastal Ecosystems
28.3,0.5672,Heat-Adapted Coastal Ecosystems
25.8,0.5149,Heat-Adapted Coastal Ecosystems
27.9,1.545,Heat-Adapted Coastal Ecosystems
25.0,0.3852,Heat-Adapted Coastal Ecosystems
25.7,1.3105,Heat-Adapted Coastal Ecosystems
26.8,0.6829,Heat-Adapted Coastal Ecosystems
26.1,1.2265,Heat-Adapted Coastal Ecosystems
25.9,0.3914,Heat-Adapted Coastal Ecosystems
28.2,0.1871,Heat-Adapted Coastal Ecosystems
28.9,0.2368,Heat-Adapted Coastal Ecosystems
27.5,0.3095,Heat-Adapted Coastal Ecosystems
27.4,0.8312,Heat-Adapted Coastal Ecosystems
31.0,1.0715,Heat-Adapted Coastal Ecosystems
28.7,1.4455,Heat-Adapted Coastal Ecosystems
31.2,0.1062,Heat-Adapted Coastal Ecosystems
32.7,0.307,Heat-Adapted Coastal Ecosystems
29.7,0.3169,Heat-Adapted Coastal Ecosystems
27.3,0.4779,Heat-Adapted Coastal Ecosystems
31.4,0.1327,Heat-Adapted Coastal Ecosystems
30.6,0.9121,Heat-Adapted Coastal Ecosystems
29.2,0.9711,Heat-Adapted Coastal Ecosystems
29.0,1.0443,Heat-Adapted Coastal Ecosystems
29.1,0.8267,Heat-Adapted Coastal Ecosystems
36.1,1.1182,Heat-Resilient Urban Infrastructure
34.9,0.7904,Heat-Adapted Coastal Ecosystems
34.9,1.6451,Heat-Adapted Coastal Ecosystems
36.2,0.5802,Heat-Resilient Urban Infrastructure
36.9,1.2962,Heat-Resilient Urban Infrastructure
32.1,0.9942,Heat-Adapted Coastal Ecosystems
36.5,0.3415,Heat-Resilient Urban Infrastructure
29.1,0.4202,Heat-Adapted Coastal Ecosystems
34.1,1.1948,Heat-Adapted Coastal Ecosystems
36.5,0.4041,Heat-Resilient Urban Infrastructure
35.9,1.1092,Heat-Resilient Urban Infrastructure
36.3,0.0614,Heat-Resilient Urban Infrastructure
36.1,0.1416,Heat-Resilient Urban Infrastructure
34.6,-0.0204,Heat-Adapted Coastal Ecosystems
31.4,1.1758,Heat-Adapted Coastal Ecosystems
34.4,0.1988,Heat-Adapted Coastal Ecosystems
30.2,0.121,Heat-Adapted Coastal Ecosystems
34.9,0.6336,Heat-Adapted Coastal Ecosystems
28.0,0.7618,Heat-Adapted Coastal Ecosystems
26.3,0.9021,Heat-Adapted Coastal Ecosystems
26.6,0.4873,Heat-Adapted Coastal Ecosystems
29.7,1.0395,Heat-Adapted Coastal Ecosystems
10.2,1.0851,Wetland Carbon Sink Restoration
30.6,0.7994,Heat-Adapted Coastal Ecosystems
25.3,0.3007,Heat-Adapted Coastal Ecosystems
31.7,1.5756,Heat-Adapted Coastal Ecosystems
25.6,0.0898,Heat-Adapted Coastal Ecosystems
25.7,0.4979,Heat-Adapted Coastal Ecosystems
28.1,0.1627,Heat-Adapted Coastal Ecosystems
30.8,0.6613,Heat-Adapted Coastal Ecosystems
25.3,0.9964,Heat-Adapted Coastal Ecosystems
30.3,0.6497,Heat-Adapted Coastal Ecosystems
31.5,1.2374,Heat-Adapted Coastal Ecosystems
31.5,0.2099,Heat-Adapted Coastal Ecosystems
27.8,0.1876,Heat-Adapted Coastal Ecosystems
31.7,0.2539,Heat-Adapted Coastal Ecosystems
27.9,0.022,Heat-Adapted Coastal Ecosystems
28.5,0.3761,Heat-Adapted Coastal Ecosystems
31.5,0.4557,Heat-Adapted Coastal Ecosystems
31.5,0.5803,Heat-Adapted Coastal Ecosystems
31.7,0.1726,Heat-Adapted Coastal Ecosystems
26.9,1.4719,Heat-Adapted Coastal Ecosystems
29.1,0.3781,Heat-Adapted Coastal Ecosystems
27.8,0.2662,Heat-Adapted Coastal Ecosystems
28.3,0.6756,Heat-Adapted Coastal Ecosystems
28.5,0.2718,Heat-Adapted Coastal Ecosystems
30.1,0.0957,Heat-Adapted Coastal Ecosystems
27.9,1.9776,Heat-Adapted Coastal Ecosystems
29.7,0.4128,Heat-Adapted Coastal Ecosystems
29.7,0.4628,Heat-Adapted Coastal Ecosystems
