Dissolved_Oxygen,salinities,Aquatic_Environment
14,38.5,"Very High Oxygen, High Salinity Sea - Fish: Tuna, Mackerel"
16.5,2.9,"Very High Oxygen, Low Salinity Wetland - Fish: Catfish, Pike"
4.4,18.0,"Low Oxygen, Medium Salinity Tropical Lake - Fish: Tilapia, Guppy"
7.8,2.9,"Moderate Oxygen, Freshwater River - Fish: Trout, Whitefish"
14,41.5,"Very High Oxygen, High Salinity Sea - Fish: Tuna, Mackerel"
14,36.9,"Very High Oxygen, High Salinity Sea - Fish: Tuna, Mackerel"
15,3.4,"Very High Oxygen, Low Salinity Wetland - Fish: Catfish, Pike"
7.8,3.4,"Moderate Oxygen, Freshwater River - Fish: Trout, Whitefish"
16.9,3.4,"Very High Oxygen, Low Salinity Wetland - Fish: Catfish, Pike"
15,3.4,"Very High Oxygen, Low Salinity Wetland - Fish: Catfish, Pike"
15,3.4,"Very High Oxygen, Low Salinity Wetland - Fish: Catfish, Pike"
16.5,3.4,"Very High Oxygen, Low Salinity Wetland - Fish: Catfish, Pike"
7.8,3.4,"Moderate Oxygen, Freshwater River - Fish: Trout, Whitefish"
15,3.4,"Very High Oxygen, Low Salinity Wetland - Fish: Catfish, Pike"
16.5,3.4,"Very High Oxygen, Low Salinity Wetland - Fish: Catfish, Pike"
15,3.4,"Very High Oxygen, Low Salinity Wetland - Fish: Catfish, Pike"
7.8,3.4,"Moderate Oxygen, Freshwater River - Fish: Trout, Whitefish"
7.8,3.4,"Moderate Oxygen, Freshwater River - Fish: Trout, Whitefish"
15,3.4,"Very High Oxygen, Low Salinity Wetland - Fish: Catfish, Pike"
7.8,3.4,"Moderate Oxygen, Freshwater River - Fish: Trout, Whitefish"
15,3.4,"Very High Oxygen, Low Salinity Wetland - Fish: Catfish, Pike"
15,3.4,"Very High Oxygen, Low Salinity Wetland - Fish: Catfish, Pike"
7.8,3.4,"Moderate Oxygen, Freshwater River - Fish: Trout, Whitefish"
15,3.4,"Very High Oxygen, Low Salinity Wetland - Fish: Catfish, Pike"
7.8,3.4,"Moderate Oxygen, Freshwater River - Fish: Trout, Whitefish"
7.8,3.4,"Moderate Oxygen, Freshwater River - Fish: Trout, Whitefish"
