Dissolved_Oxygen,salinities,Aquatic_Environment
15,13.7,"Moderate Oxygen, Brackish Lagoon (Fish: Sea Trout, Striped Bass, Tilapia)"
16.5,8.0,unknown
7.8,7.5,"Low Oxygen, Coastal Brackish Estuary (Fish: Sea Bass, Flounder, Tilapia)"
14,38.5,"Moderate Oxygen, High Salinity Sea (Fish: Snapper, Tuna, Mackerel)"
16.5,2.9,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
4.4,18.0,"Low Oxygen, Medium Salinity Lake (Fish: Guppy, Perch, Goby)"
7.8,5.7,"Low Oxygen, Coastal Brackish Estuary (Fish: Sea Bass, Flounder, Tilapia)"
14,56.5,"High Oxygen, Hypersaline Sea (Fish: Brine Shrimp, Saltwater Tilapia)"
15,7.2,"Moderate Oxygen, Brackish Lagoon (Fish: Sea Trout, Striped Bass, Tilapia)"
7.8,2.9,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
15,55.2,"High Oxygen, Hypersaline Sea (Fish: Brine Shrimp, Saltwater Tilapia)"
14,41.5,"Moderate Oxygen, High Salinity Sea (Fish: Snapper, Tuna, Mackerel)"
14,36.9,"Moderate Oxygen, High Salinity Sea (Fish: Snapper, Tuna, Mackerel)"
7.8,50.8,"Low Oxygen, Hypersaline Lagoon (Fish: Brine Shrimp, Saltwater Tilapia)"
4.4,29.1,unknown
14,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
14,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
15,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
7.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
16.9,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
15,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
14,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
15,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
14,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
4.4,3.4,"Very Low Oxygen, Freshwater Pond (Fish: Carp, Catfish, Goldfish)"
16.5,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
7.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
15,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
16.5,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
15,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
4.4,3.4,"Very Low Oxygen, Freshwater Pond (Fish: Carp, Catfish, Goldfish)"
7.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
15,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
14,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
14,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
7.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
15,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
15,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
14,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
14,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
7.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
15,3.4,"High Oxygen, Freshwater River (Fish: Trout, Perch, Guppy)"
7.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
7.8,3.4,"Moderate Oxygen, Low Salinity Lake (Fish: Goldfish, Carp, Catfish)"
