Dissolved_Oxygen,salinities,,,,,,,,,
15,,,,,,,,,,
16.5,,,,,,,,,,
7.8,,,,,,,,,,
14,,,,,,,,,,
16.5,,,,,,,,,,
4.4,,,,,,,,,,
7.8,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
7.8,,,,,,,,,,
15,,,,,,,,,,
14,,,,,,,,,,
14,,,,,,,,,,
7.8,,,,,,,,,,
4.4,,,,,,,,,,
14,3.4,,,,,,,,,
14,3.4,,,,,,,,,
15,3.4,,,,,,,,,
7.8,3.4,,,,,,,,,60
16.9,3.4,,,,,,,,,
15,3.4,,,,,,,,,
14,3.4,,,,,,,,,
15,3.4,,,,,,,,,
14,3.4,,,,,,,,,
4.4,3.4,,,,,,,,,
16.5,3.4,,,,,,,,,
7.8,3.4,,,,,,,,,
15,3.4,,,,,,,,,
16.5,3.4,,,,,,,,,
15,3.4,,,,,,,,,
4.4,3.4,,,,,,,,,
7.8,3.4,,,,,,,,,
7.8,3.4,,,,,,,,,
15,3.4,,,,,,,,,
14,3.4,,,,,,,,,
14,3.4,,,,,,,,,
7.8,3.4,,,,,,,,,
15,3.4,,,,,,,,,
15,3.4,,,,,,,,,
14,3.4,,,,,,,,,
14,3.4,,,,,,,,,
7.8,3.4,,,,,,,,,
15,3.4,,,,,,,,,
7.8,3.4,,,,,,,,,
7.8,3.4,,,,,,,,,
15,3.4,,,,,,,,,
15,3.4,,,,,,,,,
16.5,3.4,,,,,,,,,
14,3.4,,,,,,,,,
7.8,3.4,,,,,,,,,
9.3,3.4,,,,,,,,,
10.6,3.4,,,,,,,,,
9.3,3.4,,,,,,,,,
7.6,3.4,,,,,,,,,
6.6,3.4,,,,,,,,,
9.3,3.4,,,,,,,,,
8.4,3.4,,,,,,,,,
7.6,3.4,,,,,,,,,
10.5,3.4,,,,,,,,,
10.2,3.4,,,,,,,,,
8.7,3.4,,,,,,,,,
8.6,3.4,,,,,,,,,
9.5,3.4,,,,,,,,,
9.8,3.4,,,,,,,,,
9.3,3.4,,,,,,,,,
8.2,3.4,,,,,,,,,
9.9,3.4,,,,,,,,,
9.1,3.4,,,,,,,,,
9,3.4,,,,,,,,,
9.3,3.4,,,,,,,,,
8.1,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8.5,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.3,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.3,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.3,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.3,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.3,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.3,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.3,3.4,,,,,,,,,
12.3,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
12.2,3.4,,,,,,,,,
7.5,3.4,,,,,,,,,
9.2,3.4,,,,,,,,,
7.3,3.4,,,,,,,,,
10,3.4,,,,,,,,,
7.8,3.4,,,,,,,,,
8.9,3.4,,,,,,,,,
6.5,3.4,,,,,,,,,
8.5,3.4,,,,,,,,,
8,3.4,,,,,,,,,
11,3.4,,,,,,,,,
8.4,3.4,,,,,,,,,
9.1,3.4,,,,,,,,,
7.6,3.4,,,,,,,,,
10,3.4,,,,,,,,,
7.6,3.4,,,,,,,,,
6.8,3.4,,,,,,,,,
7.4,3.4,,,,,,,,,
9.1,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8.2,3.4,,,,,,,,,
11.4,3.4,,,,,,,,,
8.8,3.4,,,,,,,,,
11,3.4,,,,,,,,,
10.8,3.4,,,,,,,,,
8,3.4,,,,,,,,,
8.3,3.4,,,,,,,,,
7.4,3.4,,,,,,,,,
12,3.4,,,,,,,,,
6.8,3.4,,,,,,,,,
7.8,3.4,,,,,,,,,
9.2,3.4,,,,,,,,,
7.4,3.4,,,,,,,,,
9,3.4,,,,,,,,,
8.6,3.4,,,,,,,,,
7.2,3.4,,,,,,,,,
